,idx,response
46,85,"

UPDATED VERSION:

On Monday, November 1, 2021, tragedy struck in Lagos as a high-rise building that was under construction collapsed, resulting in at least 15 fatalities and several others being trapped. Located in the Ikoyi neighborhood, the 22-story building was in the midst of construction when it crumbled. This news comes as a shocking update to the previously reported incident where three people were confirmed dead. Authorities are still investigating the cause of the collapse and working to rescue anyone still trapped under the debris. Our thoughts and prayers go out to the families and loved ones affected by this devastating event."
47,86,"

On November 2, 2021, a horrific insurgent attack took place at the Daoud Khan Military Hospital in Kabul, Afghanistan. The attack started with a bomb explosion at the entrance of the hospital, followed by a second explosion and heavy gunfire that caused more than 25 casualties and wounded over 50 others. The Taliban claimed responsibility for killing four attackers and taking one into custody. Shockingly, the Islamic State – Khorasan Province is said to have carried out the attack. The Taliban believes that the goal of the insurgents was to attack the military leadership present at the hospital, but they narrowly missed their mark, and this brings another wave of insecurity and instability in Afghanistan."
48,89,"On 1 November 2021, a 21-story luxury residential high-rise collapsed in Ikoyi, Lagos, Nigeria. The building, part of the ""360 Degrees Towers"" trio of high-rise buildings, was being constructed by United Kingdom-based private development company, Fourscore Homes. The Lagos State Building Control Agency had only approved 15 floors, but 21 stories had already been built. At least 22 people have died, and an uncertain number are believed to still be trapped in the rubble as search-and-rescue operations continue into the third day. Femi Osibona, the head of Fourscore Homes, was reportedly inside the building during the collapse and is still missing. The building's owner has been arrested and will be prosecuted, and the chief architect has been suspended while the state government conducts an investigation. The collapse has raised serious concerns about the safety of building sites in Nigeria."
49,91,"On November 2, 2021, incumbent Democratic Governor Phil Murphy won his re-election bid, defeating Republican former state legislator Jack Ciattarelli. This victory makes Murphy the first Democrat to be re-elected as New Jersey governor since Brendan Byrne in 1977. The general election saw five candidates on the ballot, with Murphy winning the Democratic nomination unopposed and facing Ciattarelli, Green nominee Madelyn Hoffman, Libertarian nominee Gregg Mele, and SWP nominee Joanne Kuniansky. Despite a cancelled debate between Ciattarelli and Hirsh Singh, the election saw intense campaigning and fundraising efforts from both candidates, with Murphy ultimately emerging victorious."
50,93,"On 1 November 2021, a 21-story luxury residential high-rise tower collapsed in Ikoyi, Lagos, Nigeria. It was one of the ""360 Degrees Towers,"" which were being constructed by Fourscore Homes, a UK-registered company headed by experienced Nigerian developer Femi Osibona. The Lagos State Building Control Agency had approved only 15 floors, but 21 had been built. The death toll from the collapse has increased to 36, with many more still trapped in the rubble. A rescue effort is ongoing and being supervised by the Commissioner for Special Duties and Intergovernmental Relations, and the Lagos State Ministry of Physical Planning and Urban Development. The state government has suspended the chief architect, and an independent panel has been allotted 30 days to disclose findings. Fourscore Homes' owner has been arrested and will be prosecuted."
51,94,"

On November 5, 2021, a collision between an oil tanker and a truck in Freetown, Sierra Leone, resulted in a catastrophic explosion that killed at least 99 people and left over 100 injured. The incident took place in the Wellington suburb at a junction outside Choithram Supermarket. The accident is believed to have occurred at 22:00 GMT when the fuel truck spilled, followed by an ignition that triggered the explosion. Reports indicate that a bus full of passengers was ""completely"" burnt, and nearby markets and shops caught fire after fuel spilled onto the streets. The mortuary at Connaught Hospital has received 92 bodies, and the injured have been transferred to hospitals. President Julius Maada Bio has offered condolences and promised support to the victims' families, and Vice President Mohamed Juldeh Jalloh has visited two hospitals where hospital staff have reported stretched services. Freetown, Sierra Leone's port city with a population of over 1 million, has faced several disasters in the past, such as mudslides in 2017 that killed over 1,000 people and a major fire that left over 5000 displaced in March 2021."
52,95,"

On November 5, 2021, tragedy struck at the Astroworld Music Festival in Houston, Texas. The festival, operated by rapper Travis Scott, saw a stampede and crowd crush that resulted in the deaths of eight people and injuries for hundreds more. The cause of death is still under investigation, but drug overdose is being investigated as a potential cause of cardiac arrest for some victims. The festival, which had approximately 50,000 attendees, had 367 police officers and 241 security officers present, along with 55 in-service units from the Houston Fire Department. The festival's paramedics were seen performing CPR on unconscious attendees and more than 300 people were treated for injuries at the festival's field hospital. Scott and his staff paused the performance when he noticed attendees in distress near the stage, but he resumed the performance shortly after. The second night of the festival was cancelled and a reunification center was set up for families searching for relatives. The incident is under investigation, and Scott stated he would support the investigation and help heal the Houston community."
53,96,"

The United Arab Emirates and Syria have had diplomatic relations for years, with the former maintaining an embassy in Damascus and the latter having an embassy in Abu Dhabi and a consulate-general in Dubai. The two countries, which are both located in the Middle East, share close cultural ties. Recently, there was a historic meeting between Emirati Foreign Minister Abdullah bin Zayed Al Nahyan and Syrian President Bashar al-Assad, marking the first time they have met since the beginning of the Syrian Civil War 10 years ago. During the meeting, they discussed ways to develop cooperation in various sectors that are of mutual interest."
54,97,"On November 5, 2021, a fatal fuel tanker explosion occurred in Freetown, Sierra Leone, at the Wellington area's busy intersection, killing at least 101 people and injuring more than 100. The collision between the fuel tanker and a lorry triggered a blaze, and victims, including passengers in cars and a bus full of people, were trapped in the ensuing traffic chaos. The event led to extensive damage to nearby shops and markets, and many locals, particularly the ""Okada"" (motorbike) taxi-riders, attempted to collect the spilt petrol in containers, which worsened the damage. Rescue efforts at the scene ended on November 6, and the injured were transferred to hospitals, with some being in critical condition. Recently, the death toll has risen to 115. The tragic event highlights the risks of fuel tanker explosions in densely populated areas in sub-Saharan Africa, where spilled fuel is viewed as wasteful in communities where many struggle to afford petrol."
55,98,"Israel, which has one of the highest vaccination rates per capita, has approved the use of the Pfizer-BioNTech COVID-19 vaccine for children between the ages of 5 and 11 years old. The decision was made by the country's pandemic advisory board, following trials that showed the vaccine to be highly effective in preventing severe illness and hospitalization among children. With this move, Israel has become the first country to approve the Pfizer vaccine for children in this age group. The country has been a leader in vaccinating its population against COVID-19, having given at least one dose to around 64% of eligible Israelis as of June 26, 2021, and the recent approval for children will further strengthen their efforts to tackle the pandemic."
56,100,"On 14 November 2021, at approximately 10:59 am GMT, an explosion occurred inside a taxi in the car park in front of the main entrance of the Liverpool Women's Hospital, which has now been declared a terrorist incident by police. The passenger, a man of Middle Eastern origin not known to MI5, was killed in the incident, having constructed the device himself, and the taxi driver, David Perry, was injured but released the following day. New information revealed by Mayor Joanne Anderson states that Perry locked the passenger inside the vehicle upon noticing that the bomber was wearing an explosive device. Merseyside Police made three arrests under the Terrorism Act and searched a property in the Sefton Park area, with three additional men being arrested in the Kensington area. On 15 November 2021, the police declared the explosion a terrorist incident, with the UK terror threat level being raised from substantial to severe. The incident has gained international attention, with reports from CNN, The New York Times, and The Washington Post."
57,103,"

On November 18, 2021, Tonga held general elections to choose 17 of the 26 seats in the Legislative Assembly of Tonga, with 73 candidates running for office. The previous general elections in 2017 resulted in the Democratic Party of the Friendly Islands winning by a considerable margin, and the late ʻAkilisi Pōhiva was re-elected as Prime Minister. However, after his death in 2019, Pohiva Tuʻiʻonetoa was elected to be the next Prime Minister with the support of the nobles, independent MPs, and five former members of DPFI. Although Democratic party leader Semisi Sika presented a motion of no-confidence against Prime Minister Tuʻiʻonetoa in December 2020, the Legislative Assembly rejected it on January 12, 2021. Despite a week-long lockdown due to a COVID-19 case, the polls went ahead as scheduled, and Tongans voted for their new government."
58,106,"

On November 23, 02:00 local time, tragedy struck in Western Bulgaria when a bus carrying Macedonian tourists returning from Istanbul crashed and caught fire near Bosnek, Pernik Province, resulting in the death of forty-six individuals with seven more sustaining injuries. The accident occurred on a motorway south-west of Sofia, sparking widespread devastation and anguish. We can only hope that those affected receive the support and care they need during this time of immense grief and loss."
59,108,"

The Solomon Islands has been engulfed in civil unrest for three days, with rioting, looting, and clashes with police. The Australian Federal Police have taken control of Honiara, the capital city, and implemented a curfew that begins at 7:00 p.m. local time. The protests began peacefully, but turned violent on 24 November 2021, with buildings being burnt down and schools and businesses closing. Most of the protesters came from Malaita province, which had recently held an illegitimate independence referendum that the national government dismissed. The cause of the civil unrest stems from the government's withdrawal of recognition of the Republic of China (Taiwan) in favor of establishing relations with mainland China, which has caused tension between different provinces in the country. Prime Minister Manasseh Sogavare has resisted calls to resign and accused the protesters of being ""politically motivated,"" while the premier of Malaita Province and the opposition leader have criticized the government's handling of the situation. China has expressed concern about the attacks and supports the Solomon Islands Government's attempts to restore order and stability quickly."
60,109,"The 2021-2022 European windstorm season marks the seventh seasonal naming event in Europe for windstorms, with the Netherlands, Ireland, and the United Kingdom participating for the third season. The season also includes the collaborative efforts of the meteorological agencies of Portugal, Spain, France, Belgium, Luxembourg, Greece, Israel, Cyprus, Italy, Slovenia, Croatia, Montenegro, North Macedonia, and Malta. Storms named by the agencies will be used interchangeably. The storms naming convention for the UK, Ireland, and the Netherlands is based on the National Severe Weather Warning Service, while other agencies, such as France, Spain, Portugal, and Belgium, have their naming scheme. Former Atlantic hurricanes will retain their original names as assigned by the National Hurricane Center of the US.  Most recently, Storm Arwen hit the British Isles, causing three fatalities and widespread damages and travel disruptions, with 100,000 people losing power in Scotland and North East England."
61,112,"

On November 30, 2021, a 15-year-old sophomore student opened fire on students at Oxford High School in the Detroit exurb of Oxford Township, Michigan, killing four students and injuring seven others. The suspected shooter has been identified and is in custody. Prior to the incident, there were threats of a mass shooting at the school, which had been investigated by school administrators but found none. The suspect reportedly used a semiautomatic handgun during the shooting, and the school went into lockdown with students being evacuated to a nearby Meijer store. Police arrived at the school and arrested the gunman without any problems. President Joe Biden and Representative Elissa Slotkin expressed their condolences over the shooting, while Governor Gretchen Whitmer called gun violence a ""public health crisis."""
62,114,"The Semeru volcano on the Indonesian island of Java erupted on December 4, 2021, killing one person and injuring 41 others. The eruption sent a cloud of volcanic ash 40,000 feet (12,000 meters) into the air and triggered a pyroclastic flow that traveled down the slopes of the volcano. The collapse of a lava dome at the summit crater due to intense precipitation is thought to have triggered the eruption, which is part of a series of explosive eruptions beginning in 2014. The eruption affected six sub-districts in the Malang Regency and eight villages and two sub-districts in the Lumajang Regency, causing damage to bridges, roads, and buildings. Many people were displaced and provided with aid, while authorities urged residents to keep a safe distance from the volcano. Indonesian President Joko Widodo visited the affected areas to lead recovery efforts, while the Governor of East Java helped with the evacuation process."
63,115,"

On 4 December 2021, thirteen civilians were killed, including miners returning from work and a soldier, when soldiers of the Assam Rifles opened fire after mistaking them for militants. The incident took place in Nagaland, India, and resulted in public outrage and widespread condemnation, with calls to repeal and revoke the Armed Forces Special Powers Act (AFSPA). Angry locals also confronted the soldiers, leading to further violence that claimed the life of a soldier and seven more miners. The Special Investigation Team (SIT) was formed to probe the incident, while the National Human Rights Commission of India sent notices to the Central and the State governments."
64,119,"The COVID-19 pandemic in the United Kingdom continues to surge as the country reports a record-breaking 78,610 new cases in the past 24 hours. This increase in cases has been attributed to the highly transmissible Omicron variant of the virus, which has rapidly spread throughout the country despite high vaccination rates. In response to the surge in cases, the UK government has implemented stricter measures, including mandatory mask-wearing in public indoor spaces and a requirement for proof of vaccination status for entry to certain venues. The surge in cases has put a significant strain on the country's healthcare system and has further disrupted the economy and daily life for many citizens."
65,122,"On 16 December 2021, the Liberal Democrats achieved a huge upset in the UK's House of Commons by-election for the North Shropshire constituency, an area in the West Midlands. The election was triggered by the resignation of Conservative MP Owen Paterson on 4 November. The Liberal Democrats candidate, Helen Morgan, won with a 34.1% swing, defeating the Conservative Party, which had held the seat since the constituency was created. Morgan is a chartered accountant who was born and raised in the rural West Midlands and has lived in North Shropshire since 2014. The swing was the 7th largest in United Kingdom by-election history. The constituency, the third-largest by area in the West Midlands region, includes five small towns: Wem, Whitchurch, Ellesmere, Oswestry, and Market Drayton. Sixty per cent of constituents had previously voted to leave the European Union in the 2016 EU referendum."
66,124,"

On 20 December 2021, a cargo ship named Francia with 138 people onboard sank off the northeast coast of Madagascar. It became vulnerable to wave action due to the engine room flooding caused by a hole in the ship's hull. The vessel had illegally taken on 130 passengers, and at least 85 people died in the accident. On 23 December, 24 more bodies were discovered, bringing the total death toll to 85. The Madagascan government immediately started an investigation into the sinking, and three vessels from the Madagascan navy and maritime agency assisted in the search for survivors. The accident also involved a helicopter crash, which killed one passenger and caused injuries to others, including the police minister. The tragic incident brought grief to the nation, and Madagascan president Andry Rajoelina paid tribute to those who died in the shipwreck and helicopter crash, saying that some bodies were sent to nearby villages for burial because the local graveyard was too small to accommodate them all."
67,126,"The COVID-19 pandemic in South Australia continues to worsen, with the state reporting a record 744 new cases in the past 24 hours, bringing the total number of confirmed cases to 4,324. In response, the government has implemented a range of restrictions, including mandatory mask-wearing in high-risk settings and a ban on indoor dining. Schools have also been closed, and construction work halted. Despite the high case numbers, the state has started to ease restrictions as vaccination rates continue to climb, with borders reopening to other states in November and the adoption of a suppression strategy. The state has also been impacted by event cancellations, including the Tour Down Under bicycle race and the cancellation of the 2021 and 2022 Royal Adelaide Show due to COVID-19."
68,127,"

Record-breaking rainfall has caused severe flooding in the northeastern Brazilian state of Bahia leading to the deaths of 18 individuals. As of the 27th of December 2021, the floods have affected over 35,000 individuals, with 72 municipalities in the state of Bahia having declared a state of emergency. The state capital Salvador has received over 250 millimetres (9.8 inches) of rain on the 24th of December, which is five times the historical average. A joint rescue operation has been mounted by the Bahia state government and Brazilian federal government, with support from other state governments, to provide relief to those affected by the floods. The collapse of two dams in Jussiape and Itambe on the 25th and 26th of December respectively has further exacerbated the situation. This event follows the devastation caused earlier in the same month by Subtropical Storm Ubá, which had badly flooded southern Bahia."
69,131,"

Iran's involvement in cyberwarfare continues to be a pressing concern as suspected Iranian hackers have recently targeted the website of Israel's Jerusalem Post newspaper. The attack replaced the newspaper's content with a direct threat to Israel's Shimon Peres Negev Nuclear Research Center and a reference to Qasem Soleimani's assassination exactly two years earlier. Iran's ""Cyber Defense Command"" has been functioning since 2010, making the country an emerging military power in the field of cybersecurity. Reports suggest that Iran is one of the most active players in the international cyber arena, with its digital fortress and national information network developed to thwart attacks and engage attackers. While Iran denies launching cyberattacks against other countries, it has been accused of doing so by western analysts. Therefore, the threat of Iranian cyberattacks continues to pose a significant risk."
70,134,"

On January 9, 2022, a devastating fire engulfed a 19-story residential building in the Belmont neighborhood of the Bronx, New York City. The raging flames claimed the lives of 17 people and left 44 others injured. The incident is expected to be one of the worst fires in the modern history of New York City. Emergency services were called to the scene at dawn and were able to quell the blaze after several hours of intense firefighting. Investigations are currently underway to determine the cause of the fire, and officials say that the damage to the building was extensive, leaving many residents displaced and homeless."
71,135,"The ongoing 2021-22 Russo-Ukrainian crisis continues to escalate as Ukraine recently announced the arrest of an alleged Russian intelligence agent. The agent is accused of attempting to recruit individuals to launch attacks in the port city of Odessa. Since late October 2021, tensions have increasingly risen between Russia and Ukraine, with the crisis causing international concern and involving the United States, NATO, the European Union, and the Commonwealth of Independent States. Reports of Russian troop buildups near the Ukrainian border have been a significant source of tension, with both sides trading accusations of aggression. Talks between Russia and the US are set to take place in Geneva on January 10th, and NATO has called for a reduction in tensions in the region. The situation remains volatile and unpredictable, with both sides continuing to make diplomatic and military moves."
72,136,"The ongoing Russo-Ukrainian crisis, which began in late October 2021, continues to escalate as talks between NATO and Russia hit a breaking point. The crisis, which involves a military confrontation and international tension between Russia and Ukraine, has drawn in the United States, NATO, the European Union, and the Commonwealth of Independent States. Poland has warned of a possible war, adding to the tension in the region. The crisis was provoked by the first combat use of the Ukrainian Bayraktar TB2 UAV against the DPR formations, and reports suggest that Russia has amassed over 92,000 troops and Iskander short-range ballistic missile systems near the Ukrainian borders. The diplomatic and security talks have failed to alleviate the ongoing military escalation, as both sides continue to accuse each other of aggressive actions. The situation is worsening, and increasing calls for peace and de-escalation are being made amid fears of a potential war."
73,139,"The 2022 Australian Open, which is set to take place from January 17 to January 30, 2022, is embroiled in controversy after the cancellation of defending champion Novak Djokovic's visa by the Australian Minister for Immigration and Citizenship, Alex Hawke, due to ""health and good order grounds."" Djokovic had previously been granted a medical exemption from mandatory COVID-19 vaccination by Tennis Australia and the health department of the state of Victoria but was detained by the Australian Border Force upon arrival on January 5 after his visa was found to not meet the country's entry requirements for unvaccinated travelers. Djokovic appealed the visa refusal, leading the Federal Circuit and Family Court to rule in his favor and order his release from detention on January 10. Despite this, the Australian government has now canceled his visa, causing uncertainty over his eligibility to compete in the tournament. The controversy has sparked public backlash in Australia, given the strict border requirements that many Australians are facing during the pandemic."
74,140,"On January 15, 2022, an armed man claiming to be the brother of Pakistani Al-Qaeda suspect Aafia Siddiqui held congregants hostage at Congregation Beth Israel Synagogue in Colleyville, Texas. During the incident, which lasted for more than 12 hours, the man demanded that Siddiqui be released from prison, making anti-Israel comments and threatening to kill everyone in the building. Negotiations were attempted by law enforcement, and Rabbi Charlie Cytron-Walker was forced to call a New York-based rabbi to convey the assailant's demands. The situation ended when police shot and killed the suspect at around 11:30 p.m., and thankfully all four hostages, including Rabbi Cytron-Walker, were freed unharmed. The incident garnered national attention, and tributes and condemnations poured forth from many political leaders and religious figures around the world."
75,141,"On 15 January 2022, a large eruption of Hunga Tonga, a volcanic island in Tonga in the Pacific Ocean, caused tsunamis in Tonga, Fiji, American Samoa, and Lambayeque, Peru. Tsunami warnings were issued in multiple countries including Fiji, Samoa, Vanuatu, New Zealand, Australia, Japan, the United States, Canada, Chile, Ecuador, and Peru. Two people were reportedly killed in Peru due to the small tsunami. The eruption, which began on 14 January 2022, sent clouds of ash 20 kilometres (12 mi) into the atmosphere and has caused a temporary climate effect according to scientists. The extent of damage and casualties in Tonga and other affected areas is still being assessed, and the Tongan government has not confirmed any casualties from the eruption and tsunami. Rescue operations are currently underway in Atata Island, off the main Tonga island near Nukuʻalofa, after the small island was reportedly submerged by the tsunami. The events in Tonga have prompted discussions in New Zealand's Ministry of Foreign Affairs to provide aid to Tonga."
76,144,"

On January 20, 2022, a large-scale Islamic State attack occurred at Al-Sina'a prison in Al-Hasakah, Syria, resulting in the freeing of prisoners and intense clashes with Kurdish forces. The attack began with a car bomb and heavy gunfire aimed at the prison, which triggered a riot among the prisoners leading to the subsequent occupation of the prison by armed prisoners and the escape of several of them. The situation escalated, causing a spread of the Islamic State fighters to Al-Zouhour area and solidifying control of Al-Sina'a. The clashes continued into the next day, with forces of the International Coalition dispatched to offer support, while SDF forces tracked down and arrested 89 prisoners who had escaped. The situation claimed 67 lives through the various clashes, making it the largest attack by the Islamic State since losing its last key Syrian territory in 2019."
77,145,"Singapore's COVID-19 vaccination campaign continues to evolve as new developments arise. Starting from March 14, the Ministry of Health has announced that eligible individuals aged 12 to 17 can receive a booster dose of the COVID-19 vaccine. Singapore is currently the world's most-vaccinated country, with more than 88% of its population having completed their vaccination regimen, and the government has invested over one billion Singapore dollars to procure advanced vaccine candidates like Pfizer BioNTech, Moderna, and CoronaVac. The country's Expert Committee on COVID-19 Vaccination has recommended vaccination prioritization for high-risk individuals, such as healthcare workers and the elderly, as the pandemic continues. The recent expansion of booster shots to younger age groups will further bolster Singapore's efforts to achieve herd immunity and curb the spread of the virus."
78,148,"

On 25 January 2022, militants belonging to the Baluch Liberation Front launched an insurgent attack on a security post belonging to Pakistani military in a remote area of Dasht, Kech District in Balochistan, killing ten security personnel and injuring three others. The clash lasted for several hours, and the militants seized weapons from the post, but suffered significant casualties. The Pakistan Army has responded to the attack with a clearance operation, in which they killed one attacker and arrested three others. The Baluch Liberation Front has claimed responsibility for the attack, but no other group has taken responsibility."
79,150,"

UPDATED VERSION:

During the last few days of January and the beginning of February 2022, Ecuador was hit by severe rainfall that resulted in numerous landslides, floods, and mudflows. One of the most destructible events was a landslide that occurred in Quito, the capital city of Ecuador, which caused tremendous devastation and cost the lives of at least 23 people, leaving 9 still unaccounted for. Over 47 people were also injured in the natural disaster. The authorities are working tirelessly to provide aid to the affected areas and assist the survivors of this catastrophe."
80,152,"On 1 February 2022, an attempted coup d\'état occurred in Guinea-Bissau and according to President Umaro Sissoco Embalo, ""many"" members of the security forces were killed in the ""failed attack against democracy"". The President assured AFP news agency that the situation was under control and that ""all is well"", but reports remain unclear about the fate of the government in Guinea-Bissau. The Economic Community of West African States and the African Union have condemned the coup attempt, urging the military to return to their barracks while mentioning that the military is responsible for the physical integrity of the President and the government officials."
81,153,"On 2 February 2022, over 60 residents of Plaine Savo, a camp for internally displaced people in Djugu territory, Ituri Province, Democratic Republic of the Congo, were killed in a brutal mass stabbing carried out by CODECO militiamen. The attack, which occurred during the early hours of the day, has left the local community in shock and mourning. It is reported that around 4,000 people were living in the camp at the time of the attack. The incident is a stark reminder of the ongoing conflict and instability in the region and highlights the urgent need for a peaceful resolution."
82,156,"UPDATE: Whaling in Iceland has a long history, dating back to the 12th century when it was primarily done through spear-drift hunting. Today, Iceland is one of the few countries that still maintains a whaling fleet and has been hunting fin whales for export to Japan. However, in a recent announcement, Iceland has stated that it will end the practice of whaling by 2024, citing the decreasing price of whale meat as the reason for this decision. This announcement comes after a temporary pause in whaling since 2019 due to coronavirus restrictions, competition from heavily subsidized Japanese whaling, and the growth of domestic whale watching tourism. Iceland's decision to end whaling is a significant step towards marine conservation and is sure to be welcomed by environmentalists worldwide."
83,158,"The ongoing jihadist insurgency in Burkina Faso between the government and Islamist rebels has recently seen a battle between French troops and Ansar ul Islam leaving four civilians dead. The clash involved support from an attack helicopter and led to the killing of ten militants. The conflict, which has been ongoing since 2015 and is interpreted as part of the insurgency in the Maghreb, has resulted in a humanitarian crisis with thousands of people killed, displacement of civilians, and reports of war crimes and summary executions by both sides. Jihadists have also targeted schools and terrorized villagers during their everyday lives."
84,163,"Canada has recently made changes to its mission in Ukraine under Operation Unifier. In a move that surprised many, the country withdrew military advisors from Ukraine and relocated them to an undisclosed location in Europe. Additionally, Canada moved its diplomatic staff to Lviv and suspended all operations at its embassy in Kyiv. Despite these changes, Canada has still committed to its broader mission under Operation Unifier, which includes helping the development of the region, maintaining security and democracy, providing humanitarian aid, and promoting economic stability and growth. The operation began in 2015 in coordination with the Ukrainian Armed Forces and also includes a small Swedish contingent. As of January 2022, there are 260 Canadian soldiers involved in providing training to Ukrainian troops, with more than 10,000 soldiers trained under Operation Unifier thus far."
85,165,"The Rule of Law Conditionality Regulation is a European Union and Euratom regulation that allows the European Commission to take measures, including suspending payment of EU budget funds, against member states that violate the rule of law principles enshrined in article 2 of the Treaty on European Union. In recent years, concerns about democratic backsliding in Hungary and Poland have prompted the EU to take action. After years of stalling, the European Council and Parliament finally adopted the regulation in December 2020 with provisions that tie disbursements from the EU budget to adherence to rule of law standards. However, implementation has been delayed, with the European Council issuing declaratory statements in December 2020 addressing how the regulation should be implemented. The European Parliament has called on the Commission to avoid further delay in implementing the regulation, threatening legal action if necessary. Meanwhile, Hungary and Poland launched legal proceedings against the regulation, arguing it lacks a proper legal basis. However, on December 22nd, 2021, the European Court of Justice dismissed these challenges and confirmed the regulation's compliance with EU treaties, allowing the Commission to suspend EU budget funds to member states with rule of law issues affecting financial management."
86,166,"The Australian government designates certain organisations as terrorist organisations, including Hamas (including its political wing), Atomwaffen Division, Tahrir al-Sham, and the Guardians of Religion Organization. This list of designated organisations is maintained by the Attorney-General's Department and enables the government to deal with organisations involved in terrorism. The Security Legislation Amendment (Terrorism) Act 2002 inserted a range of terrorist organisation offences into the Criminal Code Act 1995, including making it an offence to materially support or be supported by a listed terrorist organisation. It is illegal to finance terrorism under Division 103 of the Criminal Code Act 1995, and the Australian Transaction Reports and Analysis Centre (AUSTRAC) monitors financial transactions involving listed terrorist organisations. Australian anti-terrorism financing laws include sections such as 102.6, 102.7, 103.1, 103.2, and 119.4(5) of the Criminal Code Act 1995 and sections 20 and 21 of the Charter of the United Nations Act 1945. Prosecution of these offenses in Australia is overseen by the Australian Federal Police, State police forces, and the Commonwealth Director of Public Prosecutions."
