,response
83,"The ongoing military intervention in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The operation was initially focused on ousting the Taliban regime which had harbored Osama bin Laden, the leader of al-Qaeda, who was responsible for the attacks. After the fall of the Taliban, Operation Enduring Freedom expanded to include counter-terrorism operations against al-Qaeda and other militant groups, as well as efforts"
84,"The ongoing military intervention in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The operation was initially focused on ousting the Taliban regime which had harbored Osama bin Laden, the leader of al-Qaeda, who was responsible for the attacks. After the fall of the Taliban, Operation Enduring Freedom expanded to include counter-terrorism operations against al-Qaeda and other militant groups, as well as efforts"
85,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda terrorists responsible for the 9/11 attacks. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban"
86,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The operation aimed to defeat al-Qaeda and remove the Taliban regime which had harbored Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other militant groups"
87,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other anti-government forces. The conflict has resulted in thousands of deaths and injuries"
88,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the United States. The Taliban aim to take control of Kabul and overthrow the government of President Ashraf Ghani. The offensive has resulted in significant territorial gains for the Taliban, including the capture of several major cities such as Mazar-i-Sharif,"
89,"The Taliban insurgency in Afghanistan is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the International Security Assistance Force (ISAF) and other foreign military forces. The conflict began in 1996, when the Taliban first emerged as a significant force in Afghanistan, and escalated following the September 11 attacks in 2001, which led to the ousting of the Taliban regime by the United States and its allies. Since then, the"
90,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the Government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan which began in 2001 following the September 11 attacks on the United States. In January 2015, the Taliban launched Operation Omari, named after their leader Mullah Akhtar Muhammad Mansour, aimed at capturing"
91,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP was officially announced on January 14, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. The group"
92,"The Taliban insurgency in Afghanistan is an ongoing conflict between the government of Afghanistan and the Taliban, a militant Islamic organization that seeks to establish an Islamic Emirate of Afghanistan. The conflict began in 1996, when the Taliban first emerged as a significant force following the withdrawal of Soviet forces from Afghanistan, and escalated into a full-scale insurgency after the fall of the Taliban government in 2001. The conflict has resulted in thousands of deaths and displacement of millions of Afgh"
93,"The Taliban insurgency in Afghanistan is an ongoing conflict between the government of Afghanistan and the Taliban, a militant Islamic organization that seeks to establish an Islamic Emirate of Afghanistan. The conflict began in 1996, when the Taliban first emerged as a significant force following the withdrawal of Soviet forces from Afghanistan, and escalated into a full-scale insurgency after the fall of the Taliban government in 2001. The conflict has resulted in thousands of deaths and displacement of millions of Afgh"
94,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. On January 14, 2015, ISIL-KP claimed responsibility for the January 2015 Kabul bombing which killed at least 35 people and injured over"
95,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. On January 14, 2015, ISIL-KP claimed responsibility for the January 2015 Kabul bombing which killed at least 35 people and injured over"
96,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Australia was announced on 27 February 2020. As of 18 October 2021, there have been over 100,000 confirmed cases of COVID-19 in Australia, resulting in over 1,700 deaths."
97,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus was first identified in Wuhan, China in December 2019, and has since spread to become a global pandemic. The first confirmed case in Australia was reported on 27 February 2020. As of 26 August 2021, there have been over"
98,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus spreads from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be contracted by touching a surface or object contaminated with the virus and then touching the mouth, nose, or eyes. On 11 January 2020, the World Health Organization (WHO) was informed of"
99,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people around the world. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of February 2021,"
100,"The COVID-19 pandemic is an ongoing global pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, China in late 2019, it is a member of the coronavirus family that causes respiratory illness in mammals, including humans. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or"
101,"The Taliban insurgency in Afghanistan refers to the ongoing insurgency against the government of Afghanistan led by the Taliban movement. The insurgency began shortly after the fall of the Taliban government in late 2001, following the United States invasion of Afghanistan. The Taliban insurgency has continued despite the presence of international forces in the country, which began in 2001 as part of Operation Enduring Freedom. As of 2015, the Taliban insurgency is active in many parts of the country, particularly in"
102,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, the group pledged allegiance to Abu Bakr al-Baghdadi, the leader of I"
103,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, the group pledged allegiance to Abu Bakr al-Baghdadi, the leader of I"
104,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the initial invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into an insurgency campaign by the Taliban and other anti-government militias"
105,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and the United States Armed Forces. It is the continuation of the War in Afghanistan (2001–2014) which began following the September 11 attacks in 2001. In January 2015, the Taliban launched a large-scale offensive against the government of Afghanistan"
106,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and the United States Armed Forces. It is the continuation of the War in Afghanistan (2001–2014) which began following the September 11 attacks in 2001. In January 2015, the Taliban launched a large-scale offensive against the government of Afghanistan"
107,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. The conflict began in late 2014 when the Taliban launched a large-scale offensive against the government, following the withdrawal of most NATO combat troops from the country. In January 2015, the Taliban captured the city of Kunduz, the first major city to fall"
108,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of"
109,"The 2010 Haiti earthquake was a catastrophic magnitude 7.0 Mw earthquake, with an epicenter near the town of Léogâne, approximately 25 km (16 mi) west of Port-au-Prince, Haiti's capital. The earthquake occurred on Tuesday, January 12, 2010, at 16:53:09 local time (21:53:09 UTC). It was the most powerful earthquake to strike Haiti"
110,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 4,850 deaths and 10,000 cases of COVID-19 in Afghanistan. On"
111,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 4,850 deaths and 10,000 cases of COVID-19 in Afghanistan. On"
112,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 4,850 deaths and 10,000 cases of COVID-19 in Afghanistan. On"
113,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 4,850 deaths and 10,000 cases of COVID-19 in Afghanistan. On"
114,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other militant groups. The conflict has resulted in thousands of deaths and displacement of civilians"
115,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other militant groups. The conflict has resulted in thousands of deaths and displacement of civilians"
116,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other militant groups. The conflict has resulted in thousands of deaths and displacement of civilians"
117,"The Episcopal Church, officially the Episcopal Church in the United States of America, is the province of the Anglican Communion in the United States. It is a member church of the World Council of Churches and the Anglican Communion. The presiding bishop of the Episcopal Church is Michael Curry. The Episcopal Church is one of the 38 member churches of the Anglican Communion, which is headed by the Archbishop of Canterbury, Justin Welby. The Episcopal Church traces its origins to the Church of England, from which it"
118,"The Episcopal Church, officially the Episcopal Church in the United States of America, is the province of the Anglican Communion in the United States. It is a member church of the World Council of Churches and the Anglican Communion. The presiding bishop of the Episcopal Church is Michael Curry. The Episcopal Church is one of the 38 member churches of the Anglican Communion, which is headed by the Archbishop of Canterbury, Justin Welby. The Episcopal Church traces its origins to the Church of England, from which it"
119,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan (2001–2014) which began shortly after the September 11 attacks in 2001. In January 2015, the Taliban launched a large-scale offensive across the country, capturing several key"
120,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-K) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Pakistan, and Iran. On January 14, 2015, ISIL released a video announcing the establishment of Wilayat Khorasan, or ""Khorasan Province"", as a new wilaya (province) within the caliphate. In February 20"
121,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-K) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Pakistan, and Iran. On January 14, 2015, ISIL released a video announcing the establishment of Wilayat Khorasan, or ""Khorasan Province"", as a new wilaya (province) within the caliphate. In February 20"
122,"The legal status of cannabis varies by jurisdiction. In some countries, such as the United States, cannabis is illegal for any use, while in others, such as Canada and Uruguay, it is legal for both medical and recreational use. Medical cannabis is legal in Australia, Austria, Belgium, Canada, Chile, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Israel, Italy, Luxembourg, Malta, Netherlands, New Zealand, North Macedonia, Norway, Peru, Poland, Portugal,"
123,"The Islamic Republic of Afghanistan (Persian: جمهوری اسلامی افغانستان, Pashto: د افغانستان اسلامی جمهوریت, Urdu: اسلامی جمہوریہ افغانستان) is a country located in Central Asia and South Asia. It is bordered by Pakistan to the south and east; Iran to the west; Turk"
124,"The war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The primary goal of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. However, the invasion also aimed to remove the Taliban regime from power and establish a stable democratic government in Afghanistan. In May 2011, President Barack Obama announced that the United States would begin a gradual withdraw"
125,"The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. It was officially announced on January 14, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. As of February 202"
126,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 28 February 2023, the total number of confirmed cases in Afghanistan has reached 10,000, while the death toll has risen to at least 1,"
127,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Australia was announced on 28 February 2020. As of 15 March 2023, there have been over 100,000 confirmed cases of COVID-19 in Australia, resulting in over 1,700 deaths."
128,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes"
129,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak to be a public health emergency of international concern (PHEIC) on January 8, 2020. As of"
130,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneez"
131,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in nearly every country in the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sne"
132,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneez"
133,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. As of March"
134,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in almost every country in the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sne"
135,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since spread globally, affecting millions of people and causing hundreds of thousands of deaths. The World Health Organization (WHO) declared the outbreak a global pandemic on January 8, 2020. As of February 23, 2023, there have been over"
136,"The COVID-19 pandemic is an ongoing global pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a novel strain of coronavirus first identified in Wuhan, China in December 2019. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be contracted by touching a surface or object that has the virus on it and then touching the mouth, nose, or"
137,"The Islamic Emirate of Afghanistan (Persian: دولت اسلامی افغانستان, Pashto: د اسلامي امارات افغانستان), also known as the Taliban government, was the government of Afghanistan from September 1996 until December 2001, when it was overthrown by Operation Enduring Freedom following the September 11 attacks on the United States. It was led by Mul"
138,"The 2014 Afghan presidential election was held on April 5, 2014, to elect the President of Afghanistan. Ashraf Ghani Ahmadzai won the election with 56.4% of the vote, defeating Abdullah Abdullah who received 31.4% of the vote. Turnout was reported to be around 70%. It was the first time that an incumbent president, Hamid Karzai, did not run for re-election. This was also the first time that a woman, Fawzia Ko"
139,"The 2019 Afghan presidential election was held on 28 September 2019. It was the fourth presidential election in Afghanistan since the fall of the Taliban regime in 2001. Incumbent President Ashraf Ghani won re-election, defeating his main challenger, Chief Executive Abdullah Abdullah, who had also run in the previous election in 2014. The election was marred by allegations of widespread fraud and irregularities, which led to delays in the announcement of results."
140,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other countries. The war began in 2015 when the Taliban launched a large-scale offensive against the government, following the withdrawal of most foreign troops from the country. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. It is considered one of the longest wars in modern history"
141,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other countries. The war began in 2015 when the Taliban launched a large-scale offensive against the government, following the withdrawal of most foreign troops from the country. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. It is considered one of the longest wars in modern history"
142,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a wilayah (province) of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and parts of Central Asia. ISIL-KP was established in January 2015 when the group's leader, Abu Bakr al-"
143,"The Islamic Republic of Afghanistan (Persian: جمهوری اسلامی افغانستان, Pashto: د افغانستان اسلامي جمهوري, Urdu: اسلامی جمہوری افغانستان) is a country located in Central Asia and South Asia. It is bordered by Pakistan to the south and east, Iran to the west, Turkmenistan"
144,"The 2019 Kabul suicide bombing was a terrorist attack that occurred on 31 July 2019, when a suicide bomber detonated an explosive device in Kabul, Afghanistan, killing at least 48 people and injuring over 100 others. The attack was claimed by the Islamic State of Iraq and the Levant - Khorasan Province. <Summary></s>"
145,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as the common cold and pneumonia. It first emerged in Wuhan, China in late 2019 and has since become a worldwide pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes"
146,"The COVID-19 pandemic is an ongoing global pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as pneumonia and the flu. The virus spreads easily from person to person through respiratory droplets when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared a global pandemic of the disease on 11 March 2020, following"
147,"The COVID-19 pandemic is an ongoing global pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as pneumonia and the flu. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be transmitted by touching contaminated surfaces and then touching the face. Symptoms include fever, c"
148,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as pneumonia and the flu. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be contracted by touching a surface or object that has the virus on it and then touching the face."
149,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes the common cold. It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, cough, and difficulty breathing."
150,"The COVID-19 pandemic is an ongoing global pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as pneumonia and the flu. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. It can also be contracted by touching a surface or object contaminated with the virus and then touching the mouth, nose,"
151,"The COVID-19 pandemic in Canada refers to the ongoing outbreak of coronavirus disease 2019 (COVID-19) in Canada. On December 31, 2019, the World Health Organization (WHO) confirmed that a cluster of cases of pneumonia of unknown cause in Wuhan City, Hubei Province, China, was caused by a new strain of coronavirus, later identified as SARS-CoV-2, which causes severe acute respiratory syndrome (SARS) and Middle East respir"
152,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in every country in the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, cough, and difficulty"
153,"The 2019–20 coronavirus pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in every continent except Antarctica. As of February 27, 2023, the World Health Organization (WHO) reports that there have been more than 2.8 million confirmed cases of COVID-19 world"
154,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in almost every country in the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sne"
155,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people around the world. On 11 March 2020, the World Health Organization (WHO) declared a public health emergency of international concern (PHEIC)"
156,"The COVID-19 pandemic in Australia is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Australia. The first confirmed case of COVID-19 in Australia was reported on 27 February 2020. As of 15 March 2023, there have been 1,046,000 confirmed cases of COVID-19 in Australia, resulting in at least 1,"
157,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP was officially announced on January 14, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in the city of Mosul, Iraq. The group"
158,"The ongoing military intervention in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The operation was initially focused on the defeat of al-Qaeda and the removal of the Taliban regime which had provided safe haven to Osama bin Laden and al-Qaeda. However, the mission has since expanded to include the training and equipping of the Afghan National Security Forces (ANSF) and the rebuilding of the country's infrastr"
159,"The 2011 Norway attacks occurred on 22 July 2011, when a lone gunman named Anders Behring Breivik carried out two terrorist attacks in Norway. The first attack was a car bomb explosion outside the government headquarters in Oslo, which killed eight people and injured several others. The second attack was a shooting spree at a political summer camp on the island of Utøya, which resulted in the deaths of 69 people, mostly teenagers, and the injury of over 100 others. In total, 77 people were"
160,"The Taliban insurgency refers to the ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 until 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. The conflict has resulted in thousands of deaths and displacement"
161,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. The group has claimed responsibility for several attacks in Afghanistan, including the 2018 Kabul ambulance bombing,"
162,"The Islamic Emirate of Afghanistan (also known as the Taliban) is an Islamic fundamentalist political party and militia which ruled Afghanistan from 1996 to 2001. It was founded in 1994 by a group of Pashtun students who had been educated in madrasas (Islamic religious schools) in Pakistan. After the collapse of the communist government of Afghanistan in 1992, the Taliban emerged as one of several factions vying for control of the country. By 1996"
163,"The Islamic Emirate of Afghanistan (also known as the Taliban) is an Islamic fundamentalist political party and militia which ruled Afghanistan from 1996 to 2001. It was founded in 1994 by a group of Pashtun students who had been educated in madrasas (Islamic religious schools) in Pakistan. After the collapse of the communist government of Afghanistan in 1992, the Taliban emerged as one of several factions vying for control of the country. By 1996"
164,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The"
